theme,org,position_summary,alignment,evidence,confidence
scope_and_product_coverage,OVH Groupe,OVH raised concerns about non-European dominance of the cloud market and data protection/extraterritoriality issues without taking an explicit position on product scope.,not_reflected,"The Commission proposal focuses on cybersecurity requirements for products with digital elements and does not address cloud market dominance, European sovereignty, or extraterritoriality concerns rais",
scope_and_product_coverage,OVH Groupe,OVH raised concerns about non-European dominance of the cloud market and data protection/extraterritoriality issues without taking an explicit position on product scope.,not_reflected,"The Commission proposal focuses on cybersecurity requirements for products with digital elements and does not address cloud market dominance, European sovereignty, or extraterritoriality concerns rais",
scope_and_product_coverage,Broadcom,"Broadcom engaged broadly on CRA implementation alongside cloud sovereignty and data protection, but recorded no specific position or modification request.",not_reflected,"Without a specific recorded position from Broadcom on scope and product coverage, there is no identifiable lobby stance to assess against the Commission text.",
essential_cybersecurity_requirements,JPMorgan Chase & Co.,JPMorgan prefers simplification and reduction of digital regulatory obligations stemming from CRA and DORA cybersecurity requirements.,not_reflected,"The Commission proposal emphasizes expanding and strengthening mandatory cybersecurity requirements, not simplifying or reducing them, directly contrary to JPMorgan's preference for reduced regulatory",
essential_cybersecurity_requirements,Cisco Systems Inc.,"Cisco engaged broadly on NIS2, CRA implementation, and Cybersecurity Act review without articulating a specific position on technical requirement stringency.",partially_reflected,"The proposal addresses the CRA and cybersecurity framework Cisco engaged with, but without a specific Cisco position recorded, it is impossible to confirm whether their particular concerns are reflect",
essential_cybersecurity_requirements,European Banking Federation,EBF argued that CRA security and incident reporting requirements should align with or defer to DORA obligations already applicable to financial institutions.,not_reflected,"The Commission proposal excerpt does not reference sectoral carve-outs or deference to DORA for financial institutions, indicating no accommodation of the EBF's alignment/deference position.",
essential_cybersecurity_requirements,Broadcom,Broadcom engaged on CRA implementation alongside cloud sovereignty and data protection but recorded no specific position on technical requirement stringency.,partially_reflected,"The proposal addresses CRA implementation broadly, which aligns with Broadcom's engagement topics, but the absence of a recorded specific position makes it impossible to assess substantive reflection.",
conformity_assessment_and_third_party_verification,Deutsche Industrie- und Handelskammer,"DIHK calls for proportionate certification requirements and reduced cumulative implementation burden for small companies under NIS2, DORA, and CRA.",not_reflected,The provided proposal excerpt focuses solely on the rationale for the regulation and does not address proportionality of conformity assessment obligations or specific accommodations for small companie,
conformity_assessment_and_third_party_verification,"Kyndryl Holdings, Inc.",Kyndryl raised concerns about cybersecurity certification processes and the interplay between CRA conformity requirements and DORA obligations.,not_reflected,"The excerpt contains no provisions on conformity assessment procedures or coordination with DORA, so Kyndryl's concerns about certification process interplay are not reflected in the provided text.",
conformity_assessment_and_third_party_verification,Broadcom,Broadcom raised CRA implementation issues related to conformity assessment without specifying a clear position for or against the Commission's approach.,not_reflected,"Because no explicit Broadcom position is documented and the provided excerpt does not detail conformity assessment procedures, it is not possible to identify a reflection of Broadcom's stance in the p",
vulnerability_disclosure_and_incident_reporting,European Cloud User Coalition,Supported a unified cybersecurity incident reporting platform with streamlined interoperability between DORA and broader cybersecurity reporting frameworks.,partially_reflected,The proposal acknowledges the interplay between CRA and NIS2 but does not mention DORA or propose a unified reporting platform; it only addresses the CRA-NIS2 boundary.,
vulnerability_disclosure_and_incident_reporting,European Banking Federation,Argued CRA incident reporting should align with or defer to DORA obligations already applicable to financial institutions.,not_reflected,The proposal makes no mention of DORA or any sector-specific carve-out or alignment for financial institutions subject to existing reporting obligations.,
vulnerability_disclosure_and_incident_reporting,Apple Inc.,Opposes mandatory incident reporting requirements and lawful data access provisions in the CRA.,not_reflected,"The proposal explicitly frames mandatory security requirements as a core objective and gap-filler, directly contrary to Apple's opposition to mandatory reporting obligations.",
vulnerability_disclosure_and_incident_reporting,Bundesverband Öffentlicher Banken Deutschlands eV,"Calls for harmonising overlapping reporting obligations across DORA, NIS2, and the CRA with proportionality and risk-based approaches.",partially_reflected,"The proposal acknowledges the interplay between CRA and NIS2 and aims to delineate their scopes, but does not address DORA alignment or explicitly adopt proportionality and risk-based principles for r",
market_surveillance_and_enforcement,OVH Groupe,"OVH raised concerns about non-European dominance of the EU cloud market and issues of data protection and extraterritoriality, without a clear enforcement-related stance.",not_reflected,"The proposal excerpt focuses on closing cybersecurity gaps in products and services through NIS2 and the Cyber Resilience Act but does not address European cloud market dominance, extraterritoriality,",
market_surveillance_and_enforcement,OVH Groupe,"OVH raised concerns about non-European dominance of the EU cloud market and issues of data protection and extraterritoriality, without a clear enforcement-related stance.",not_reflected,"The proposal excerpt focuses on closing cybersecurity gaps in products and services through NIS2 and the Cyber Resilience Act but does not address European cloud market dominance, extraterritoriality,",
market_surveillance_and_enforcement,PricewaterhouseCoopers International Limited,"PwC called for harmonisation of cloud-related regulations across the EU, arguing that conflicts between national rules and EU schemes like DORA and EUCS create barriers to cross-border solutions.",partially_reflected,"The proposal acknowledges the need to coordinate and complement existing EU legislation (NIS2, EU Cybersecurity Act) and aims for a coherent horizontal cybersecurity framework, but does not explicitly",
sme_and_proportionality,JPMorgan Chase & Co.,JPMorgan favours simplification of digital regulatory obligations and reduction of cumulative cybersecurity compliance burdens.,not_reflected,The provided excerpt contains only the legal basis heading and does not include any text addressing simplification or reduction of overlapping digital regulatory obligations.,
sme_and_proportionality,European Association of Public Banks and Funding agencies AISBL,"EAPB calls for simplification and proportionality in the regulatory framework for promotional banks, citing cumulative DORA and disclosure burdens.",not_reflected,"The excerpt does not address proportionality relief for promotional or public banks, nor does it discuss cumulative compliance burdens from DORA alongside other instruments.",
sme_and_proportionality,Commerzbank AG,"Commerzbank demands pragmatic AI regulation simplification and a clearer, less duplicative interplay between DORA and the Cyber Resilience Act.",not_reflected,The excerpt provides no content on the relationship between DORA and the Cyber Resilience Act or any deduplication of compliance obligations.,
sme_and_proportionality,Deutsche Industrie- und Handelskammer,"DIHK raises concerns about the cumulative implementation burden of NIS2, DORA, and the CRA on small companies, calling for proportionate certification requirements.",not_reflected,The excerpt does not include any provisions on proportionate certification requirements or relief measures specifically for small companies.,
sme_and_proportionality,Verisure,Verisure expresses concern about the CRA's implementation timeline and its revenue and product impacts across the digital ecosystem.,not_reflected,"No implementation timeline, phase-in provisions, or impact mitigation measures for SMEs or specific sectors appear in the provided excerpt.",
sme_and_proportionality,AMADEUS IT GROUP S.A.,"Amadeus calls for a digital simplification agenda to reduce the combined regulatory burden of NIS2, CRA, GDPR, and AI legislation.",not_reflected,The excerpt contains no cross-legislative simplification agenda or measures to reduce cumulative compliance costs across multiple digital regulations.,
sme_and_proportionality,EuroCommerce,"EuroCommerce raised positions on food chain and unfair trading practices, not on the Cyber Resilience Act or SME proportionality.",not_reflected,"EuroCommerce's positions are outside the CRA scope entirely, so there is nothing in the proposal excerpt that could reflect them on this theme.",
sme_and_proportionality,Wirtschaftskammer Österreich,The Austrian Chamber of Commerce calls for proportionality adjustments in the CRA to address cumulative cybersecurity burdens on small companies.,not_reflected,The excerpt does not present any SME-specific proportionality adjustments or relief clauses under the CRA.,
sme_and_proportionality,Bundesverband Öffentlicher Banken Deutschlands eV,"The German public banks association demands harmonisation and streamlining of overlapping reporting obligations across DORA, NIS2, and the CRA, with proportionality and risk-based approaches.",not_reflected,"The excerpt does not address harmonisation of reporting obligations across DORA, NIS2, and the CRA or any risk-based proportionality mechanism.",
standardisation_and_harmonised_standards,Verisure,Verisure raises concerns about CRA implementation timeline and product/revenue impacts across the digital ecosystem.,not_reflected,"The Commission proposal text focuses on standardisation coordination and regulatory overlap avoidance, but does not address implementation timelines or revenue/product impact concerns raised by Verisu",
standardisation_and_harmonised_standards,European Banking Federation,EBF sought modifications to the CRA's standardisation approach and clearer scope delineation relative to DORA to avoid duplicative obligations.,partially_reflected,"The proposal does address duplication of standardisation work by coordinating with European Standardisation Organisations and referencing existing standardisation requests, but does not specifically a",
supply_chain_security_obligations,EuroCommerce,EuroCommerce raised no positions relevant to supply chain security obligations under the Cyber Resilience Act.,not_reflected,"EuroCommerce's meeting focused on food chain and agricultural policy, making any comparison to the Commission's CRA supply chain security provisions inapplicable.",
interface_with_sectoral_legislation,JPMorgan Chase & Co.,JPMorgan favours simplification of overlapping CRA and DORA cybersecurity obligations.,not_reflected,The proposal excerpt addresses NIS2-CRA interplay but makes no mention of DORA or any simplification agenda for financial-sector regulatory overlap.,
interface_with_sectoral_legislation,European Association of Paritarian Institutions of Social Protection,Assofondipensione noted DORA implications for pension institutions but did not articulate a clear position on modifying the CRA proposal.,not_reflected,"DORA and pension-sector specifics are entirely absent from the proposal excerpt, and no position requiring reflection was articulated.",
interface_with_sectoral_legislation,PricewaterhouseCoopers International Limited,"PwC called for harmonisation of cloud regulations and resolution of conflicts between DORA, EUCS, and national rules.",not_reflected,"The proposal references cloud providers only in the context of NIS2 scope and does not address DORA, EUCS, or cross-border harmonisation conflicts.",
interface_with_sectoral_legislation,European Association of Public Banks and Funding agencies AISBL,EAPB raised concerns about cumulative compliance burdens from DORA and other regulations for promotional banks.,not_reflected,DORA and sector-specific proportionality for banks are not addressed anywhere in the proposal excerpt.,
interface_with_sectoral_legislation,European Cloud User Coalition,The coalition endorsed integrating DORA into a unified cybersecurity incident reporting platform for streamlined interoperability.,not_reflected,The proposal excerpt does not discuss DORA or any unified incident reporting mechanism linking it to CRA obligations.,
interface_with_sectoral_legislation,Cisco Systems Inc.,Cisco engaged on NIS2 and CRA implementation and the Cybersecurity Act review without staking a specific position.,partially_reflected,"The proposal does address the NIS2-CRA relationship and references the Cybersecurity Act, covering the topics Cisco raised, though Cisco advanced no concrete position to assess as reflected or not.",
interface_with_sectoral_legislation,Commerzbank AG,Commerzbank calls for a clearer and less duplicative interplay between DORA and the CRA to reduce compliance burden.,not_reflected,The proposal discusses NIS2-CRA demarcation but does not mention DORA or address the duplication concern Commerzbank raised.,
interface_with_sectoral_legislation,Deutsche Industrie- und Handelskammer,"DIHK is concerned about the cumulative implementation burden of NIS2, DORA, and CRA on small companies and calls for proportionate certification.",partially_reflected,The proposal acknowledges the NIS2-CRA boundary but does not address DORA overlap or proportionality measures specifically designed to ease SME compliance burden.,
interface_with_sectoral_legislation,Palo Alto Networks Inc.,"Palo Alto Networks engaged on NIS2, DORA, and CRA implementation without signalling a clear supporting or opposing position.",partially_reflected,"The proposal covers the NIS2 and CRA interface that Palo Alto engaged on, but DORA and ePrivacy topics they raised are absent, and no specific position was articulated to assess.",
interface_with_sectoral_legislation,Verisure,Verisure expressed concern about CRA implementation timelines and questioned AI Act transparency obligations as they interact with the digital product ecosystem.,not_reflected,"The proposal excerpt does not address implementation timelines, revenue impacts, or the interplay between the CRA and the AI Act.",
